CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTRY NAME>>,<<COUNTRY GMI
Clarke>>,<<USA-MSP023>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP023
Claiborne>>,<<USA-MSP021>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP021
Stephens>>,<<USA-OKL137>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL137
Coahoma>>,<<USA-MSP027>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP027
Texas>>,<<USA-OKL139>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL139
Clay>>,<<USA-MSP025>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP025
Autauga>>,<<USA-ALB001>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB001
Washington>>,<<USA-OKL147>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL147
Wagoner>>,<<USA-OKL145>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL145
Tulsa>>,<<USA-OKL143>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL143
Langlade>>,<<USA-WIS067>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS067
Lincoln>>,<<USA-WIS069>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS069
Tillman>>,<<USA-OKL141>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL141
La Crosse>>,<<USA-WIS063>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS063
Big Horn>>,<<USA-MNT003>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT003
Blaine>>,<<USA-MNT005>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT005
Lafayette>>,<<USA-WIS065>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS065
Beaverhead>>,<<USA-MNT001>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT001
Kewaunee>>,<<USA-WIS061>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS061
Choctaw>>,<<USA-MSP019>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP019
Calhoun>>,<<USA-ALB015>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB015
Butler>>,<<USA-ALB013>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB013
Cherokee>>,<<USA-ALB019>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB019
Broadwater>>,<<USA-MNT007>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT007
Chambers>>,<<USA-ALB017>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB017
Carbon>>,<<USA-MNT009>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT009
Bolivar>>,<<USA-MSP011>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP011
Calhoun>>,<<USA-MSP013>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP013
Bullock>>,<<USA-ALB011>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB011
Carroll>>,<<USA-MSP015>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP015
Chickasaw>>,<<USA-MSP017>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP017
Washita>>,<<USA-OKL149>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL149
Kenosha>>,<<USA-WIS059>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS059
Juneau>>,<<USA-WIS057>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS057
Okmulgee>>,<<USA-OKL111>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL111
Osage>>,<<USA-OKL113>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL113
Carter>>,<<USA-MNT011>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT011
Iron>>,<<USA-WIS051>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS051
Chouteau>>,<<USA-MNT015>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT015
Jefferson>>,<<USA-WIS055>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS055
Cascade>>,<<USA-MNT013>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT013
Jackson>>,<<USA-WIS053>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS053
Daniels>>,<<USA-MNT019>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT019
Cleburne>>,<<USA-ALB029>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB029
Custer>>,<<USA-MNT017>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT017
Benton>>,<<USA-MSP009>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP009
Clarke>>,<<USA-ALB025>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB025
Attala>>,<<USA-MSP007>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP007
Clay>>,<<USA-ALB027>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB027
Ottawa>>,<<USA-OKL115>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL115
Amite>>,<<USA-MSP005>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP005
Chilton>>,<<USA-ALB021>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB021
Pawnee>>,<<USA-OKL117>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL117
Choctaw>>,<<USA-ALB023>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB023
Alcorn>>,<<USA-MSP003>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP003
Payne>>,<<USA-OKL119>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL119
Adams>>,<<USA-MSP001>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP001
Green>>,<<USA-WIS045>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS045
Pittsburg>>,<<USA-OKL121>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL121
Green Lake>>,<<USA-WIS047>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS047
Pottawatomie>>,<<USA-OKL125>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL125
Iowa>>,<<USA-WIS049>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS049
Pontotoc>>,<<USA-OKL123>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL123
Dawson>>,<<USA-MNT021>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT021
Deer Lodge>>,<<USA-MNT023>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT023
Forest>>,<<USA-WIS041>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS041
Fallon>>,<<USA-MNT025>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT025
Grant>>,<<USA-WIS043>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS043
Fergus>>,<<USA-MNT027>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT027
Flathead>>,<<USA-MNT029>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT029
Baker>>,<<USA-FLA003>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA003
Covington>>,<<USA-ALB039>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB039
Bay>>,<<USA-FLA005>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA005
Coosa>>,<<USA-ALB037>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB037
Bradford>>,<<USA-FLA007>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA007
Conecuh>>,<<USA-ALB035>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB035
Brevard>>,<<USA-FLA009>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA009
Colbert>>,<<USA-ALB033>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB033
Roger Mills>>,<<USA-OKL129>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL129
Coffee>>,<<USA-ALB031>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB031
Pushmataha>>,<<USA-OKL127>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL127
Alachua>>,<<USA-FLA001>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA001
Golden Valley>>,<<USA-MNT037>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT037
Dunn>>,<<USA-WIS033>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS033
Wayne>>,<<USA-IOW185>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW185
Glacier>>,<<USA-MNT035>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT035
Douglas>>,<<USA-WIS031>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS031
Webster>>,<<USA-IOW187>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW187
Garfield>>,<<USA-MNT033>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT033
Warren>>,<<USA-IOW181>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW181
Gallatin>>,<<USA-MNT031>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT031
Washington>>,<<USA-IOW183>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW183
Fond du Lac>>,<<USA-WIS039>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS039
Florence>>,<<USA-WIS037>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS037
Eau Claire>>,<<USA-WIS035>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS035
Crenshaw>>,<<USA-ALB041>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB041
Cullman>>,<<USA-ALB043>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB043
Dale>>,<<USA-ALB045>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB045
Dallas>>,<<USA-ALB047>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB047
DeKalb>>,<<USA-ALB049>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB049
Van Buren>>,<<USA-IOW177>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW177
Granite>>,<<USA-MNT039>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT039
Wapello>>,<<USA-IOW179>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW179
Union>>,<<USA-IOW175>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW175
Lake>>,<<USA-MNT047>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT047
Taylor>>,<<USA-IOW173>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW173
Lewis and Clark>>,<<USA-MNT049>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT049
Columbia>>,<<USA-WIS021>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS021
Tama>>,<<USA-IOW171>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW171
Jefferson>>,<<USA-MNT043>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT043
Judith Basin>>,<<USA-MNT045>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT045
Noble>>,<<USA-OKL103>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL103
Dodge>>,<<USA-WIS027>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS027
Door>>,<<USA-WIS029>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS029
Muskogee>>,<<USA-OKL101>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL101
Hill>>,<<USA-MNT041>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT041
Crawford>>,<<USA-WIS023>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS023
Dane>>,<<USA-WIS025>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS025
Elmore>>,<<USA-ALB051>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB051
Oklahoma>>,<<USA-OKL109>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL109
Okfuskee>>,<<USA-OKL107>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL107
Etowah>>,<<USA-ALB055>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB055
Nowata>>,<<USA-OKL105>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<USA-OKL105
Escambia>>,<<USA-ALB053>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB053
Franklin>>,<<USA-ALB059>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB059
Fayette>>,<<USA-ALB057>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB057
Story>>,<<USA-IOW169>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW169
Sioux>>,<<USA-IOW167>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW167
McCone>>,<<USA-MNT055>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT055
Lincoln>>,<<USA-MNT053>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT053
Meagher>>,<<USA-MNT059>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT059
Buffalo>>,<<USA-WIS011>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS011
Madison>>,<<USA-MNT057>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT057
Calumet>>,<<USA-WIS015>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS015
Burnett>>,<<USA-WIS013>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS013
Liberty>>,<<USA-MNT051>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT051
Clark>>,<<USA-WIS019>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS019
Chippewa>>,<<USA-WIS017>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS017
Hale>>,<<USA-ALB065>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB065
Henry>>,<<USA-ALB067>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB067
Union>>,<<USA-NJR039>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR039
Geneva>>,<<USA-ALB061>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB061
Sussex>>,<<USA-NJR037>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR037
Greene>>,<<USA-ALB063>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB063
Somerset>>,<<USA-NJR035>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR035
Salem>>,<<USA-NJR033>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR033
Passaic>>,<<USA-NJR031>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR031
Houston>>,<<USA-ALB069>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB069
Woodbury>>,<<USA-IOW193>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW193
Musselshell>>,<<USA-MNT065>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT065
Winneshiek>>,<<USA-IOW191>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW191
Park>>,<<USA-MNT067>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT067
Wright>>,<<USA-IOW197>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW197
Petroleum>>,<<USA-MNT069>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT069
Worth>>,<<USA-IOW195>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW195
Adams>>,<<USA-WIS001>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS001
Lee>>,<<USA-ALB081>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB081
Ashland>>,<<USA-WIS003>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS003
Mineral>>,<<USA-MNT061>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT061
Barron>>,<<USA-WIS005>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS005
Missoula>>,<<USA-MNT063>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<USA>>,<<USA-MNT063
Bayfield>>,<<USA-WIS007>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS007
Brown>>,<<USA-WIS009>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<USA>>,<<USA-WIS009
Lauderdale>>,<<USA-ALB077>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB077
Lamar>>,<<USA-ALB075>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB075
Jefferson>>,<<USA-ALB073>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB073
Jackson>>,<<USA-ALB071>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB071
Winnebago>>,<<USA-IOW189>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<USA>>,<<USA-IOW189
Warren>>,<<USA-NJR041>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR041
Lawrence>>,<<USA-ALB079>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<USA>>,<<USA-ALB079
Hillsborough>>,<<USA-FLA057>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA057
Cumberland>>,<<USA-NJR011>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR011
Holmes>>,<<USA-FLA059>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA059
Nuckolls>>,<<USA-NEB129>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB129
Clark>>,<<USA-IND019>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND019
Essex>>,<<USA-NJR013>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR013
Hernando>>,<<USA-FLA053>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA053
Cass>>,<<USA-IND017>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND017
Gloucester>>,<<USA-NJR015>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR015
Ketchikan Gateway>>,<<USA-ALK130>>,<<Alaska>>,<<USA-ALK>>,<<United States>>,<<USA>>,<<USA-ALK130
Highlands>>,<<USA-FLA055>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA055
Carroll>>,<<USA-IND015>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND015
Hudson>>,<<USA-NJR017>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR017
Brown>>,<<USA-IND013>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND013
Hendry>>,<<USA-FLA051>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA051
Hunterdon>>,<<USA-NJR019>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR019
Boone>>,<<USA-IND011>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND011
Clay>>,<<USA-IND021>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND021
Nemaha>>,<<USA-NEB127>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB127
Nance>>,<<USA-NEB125>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB125
Morrill>>,<<USA-NEB123>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB123
Merrick>>,<<USA-NEB121>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB121
Middlesex>>,<<USA-NJR023>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR023
Pierce>>,<<USA-NEB139>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB139
Mercer>>,<<USA-NJR021>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR021
Lake>>,<<USA-FLA069>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA069
Daviess>>,<<USA-IND027>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND027
Lafayette>>,<<USA-FLA067>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA067
Morris>>,<<USA-NJR027>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR027
Dearborn>>,<<USA-IND029>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND029
Neshoba>>,<<USA-MSP099>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP099
Monmouth>>,<<USA-NJR025>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR025
Jefferson>>,<<USA-FLA065>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA065
Clinton>>,<<USA-IND023>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND023
Jackson>>,<<USA-FLA063>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA063
Crawford>>,<<USA-IND025>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND025
Ocean>>,<<USA-NJR029>>,<<New Jersey>>,<<USA-NJR>>,<<United States>>,<<USA>>,<<USA-NJR029
Indian River>>,<<USA-FLA061>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA061
Decatur>>,<<USA-IND031>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<USA>>,<<USA-IND031
Perkins>>,<<USA-NEB135>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB135
Phelps>>,<<USA-NEB137>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB137
Otoe>>,<<USA-NEB131>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB131
Pawnee>>,<<USA-NEB133>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<USA>>,<<USA-NEB133
Madison>>,<<USA-FLA079>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA079
Lee>>,<<USA-FLA071>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA071
Leon>>,<<USA-FLA073>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA073
Kodiak Island>>,<<USA-ALK150>>,<<Alaska>>,<<USA-ALK>>,<<United States>>,<<USA>>,<<USA-ALK150
Levy>>,<<USA-FLA075>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<USA>>,<<USA-FLA075
Lowndes>>,<<USA-MSP087>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<USA>>,<<USA-MSP087
