PREFECTURE NAME>>,<<CHINESE NAME>>,<<PREFECTURE GMI
Waynesboro>>,<<Waynesboro(Wayne)>>,<<4718178600
West Shiloh>>,<<West Shiloh>>,<<4710979600
Westel>>,<<Westel>>,<<4703579040
Westmoreland>>,<<Westmoreland(Sumner)>>,<<4716579420
Westover>>,<<Westover(Madison)>>,<<4711379480
Westpoint>>,<<Westpoint(Lawrence)>>,<<4709979500
White Bluff>>,<<White Bluff>>,<<4704379980
White House>>,<<White House>>,<<4716580200
White Pine>>,<<White Pine(Jefferson)>>,<<4708980360
Whiteville>>,<<Whiteville(Hardeman)>>,<<4706980540
Whitwell>>,<<Whitwell>>,<<4711580620
Wilder>>,<<Wilder(Fentress)>>,<<4704980680
Wildersville>>,<<Wildersville>>,<<4707780720
Willette>>,<<Willette>>,<<4711180860
Winchester>>,<<Winchester(Franklin)>>,<<4705181080
Witt>>,<<Witt(Hamblen)>>,<<4706381420
Woodbury>>,<<Woodbury(Cannon)>>,<<4701581560
Wrigley>>,<<Wrigley(Hickman)>>,<<4708182120
Wynnburg>>,<<Wynnburg>>,<<4709582200
Dyer>>,<<Dyer>>,<<4705322180
Henry>>,<<Henry(Henry)>>,<<4707933400
Greenbrier>>,<<Greenbrier(Robertson)>>,<<4714730960
Milltown>>,<<Milltown(Jackson)>>,<<4708749140
Doyle>>,<<Doyle(White)>>,<<4718521500
Quebeck>>,<<Quebeck>>,<<4718561220
New River>>,<<New River(Scott)>>,<<4715153060
Mount Carmel>>,<<Mount Carmel(Hawkins)>>,<<4707350580
Colonial Heights>>,<<Colonial Heights>>,<<4716316500
Alnwick>>,<<Alnwick>>,<<4700900860
Eagleton Village>>,<<Eagleton Village>>,<<4700922340
Ducktown>>,<<Ducktown>>,<<4713921740
Centertown>>,<<Centertown(Warren)>>,<<4717712380
Chapel Hill>>,<<Chapel Hill(Marshall)>>,<<4711712880
Duck River>>,<<Duck River>>,<<4708121720
Abbott>>,<<Abbott(Hill)>>,<<4821700100
Abell>>,<<Abell>>,<<4806500112
Abilene>>,<<Abilene(Taylor)>>,<<4844101000
Ace>>,<<Ace>>,<<4837301096
Acme>>,<<Acme(Hardeman)>>,<<4819701120
Adamsville>>,<<Adamsville(Lampasas)>>,<<4828101204
Addicks>>,<<Addicks>>,<<4820101216
Addison>>,<<Addison(Dallas)>>,<<4811301240
Adrian>>,<<Adrian(Oldham)>>,<<4835901324
Ady>>,<<Ady(Potter)>>,<<4837501348
Agnes>>,<<Agnes>>,<<4836701384
Agua Dulce>>,<<Agua Dulce>>,<<4835501396
Agua Nueva>>,<<Agua Nueva>>,<<4824701408
Aguilares>>,<<Aguilares>>,<<4847901420
Aiken>>,<<Aiken(Floyd)>>,<<4815301432
Alamo Alto>>,<<Alamo Alto>>,<<4814101588
Alamo Heights>>,<<Alamo Heights>>,<<4802901600
Alanreed>>,<<Alanreed>>,<<4817901612
Alba>>,<<Alba(Wood)>>,<<4849901636
Albany>>,<<Albany(Shackelford)>>,<<4841701648
Albert>>,<<Albert(Gillespie)>>,<<4817101660
Albion>>,<<Albion(Red River)>>,<<4838701684
Aledo>>,<<Aledo(Parker)>>,<<4836701744
Alexander>>,<<Alexander(Erath)>>,<<4814301768
Alfred>>,<<Alfred(Jim Wells)>>,<<4824901816
Algerita>>,<<Algerita>>,<<4841101828
Algoa>>,<<Algoa>>,<<4816701840
Alice>>,<<Alice(Jim Wells)>>,<<4824901852
Allamoore>>,<<Allamoore>>,<<4822901888
Allen>>,<<Allen(Collin)>>,<<4808501924
Allenfarm>>,<<Allenfarm>>,<<4804101960
Alley>>,<<Alley>>,<<4818902008
Alleyton>>,<<Alleyton>>,<<4808902020
Allison>>,<<Allison(Wheeler)>>,<<4848302032
Alma>>,<<Alma(Ellis)>>,<<4813902044
Aloe>>,<<Aloe>>,<<4846902092
Alpine>>,<<Alpine(Brewster)>>,<<4804302104
Alta Loma>>,<<Alta Loma(Galveston)>>,<<4816702152
Altair>>,<<Altair>>,<<4808902140
Alto>>,<<Alto(Cherokee)>>,<<4807302188
Alton>>,<<Alton(Hidalgo)>>,<<4821502212
Alvarado>>,<<Alvarado(Johnson)>>,<<4825102260
Alvin>>,<<Alvin(Brazoria)>>,<<4803902272
Alvord>>,<<Alvord(Wise)>>,<<4849702284
Amarillo>>,<<Amarillo>>,<<4837503000
Ames>>,<<Ames(Liberty)>>,<<4829103072
Amherst>>,<<Amherst(Lamb)>>,<<4827903084
Anahuac>>,<<Anahuac>>,<<4807103144
Anderson>>,<<Anderson(Grimes)>>,<<4818503192
Andrews>>,<<Andrews(Andrews)>>,<<4800303216
Angeles>>,<<Angeles>>,<<4838903228
Angleton>>,<<Angleton>>,<<4803903264
Anna>>,<<Anna(Collin)>>,<<4808503300
Anneta>>,<<Anneta(Parker)>>,<<4836703336
Annona>>,<<Annona>>,<<4838703360
Anson>>,<<Anson(Jones)>>,<<4825303372
Anton>>,<<Anton(Hockley)>>,<<4821903540
Apple Springs>>,<<Apple Springs>>,<<4845503576
Appleby>>,<<Appleby>>,<<4834703564
Aquilla>>,<<Aquilla>>,<<4821703588
Aransas Pass>>,<<Aransas Pass>>,<<4840903600
Arcade>>,<<Arcade(Ector)>>,<<4813503648
Arcadia>>,<<Arcadia(Galveston)>>,<<4816703660
Archer City>>,<<Archer City>>,<<4800903696
Arcola>>,<<Arcola(Fort Bend)>>,<<4815703708
Argo>>,<<Argo(Titus)>>,<<4844903756
Arispe>>,<<Arispe(Hudspeth)>>,<<4822903792
Arlington>>,<<Arlington(Tarrant)>>,<<4843904000
Armstrong>>,<<Armstrong(Kenedy)>>,<<4826104072
Arnett>>,<<Arnett(Coryell)>>,<<4809904108
Arney>>,<<Arney>>,<<4806904132
Arno>>,<<Arno>>,<<4838904144
Arp>>,<<Arp>>,<<4842304156
Art>>,<<Art>>,<<4831904180
Artesia Wells>>,<<Artesia Wells>>,<<4828304192
Arthur City>>,<<Arthur City>>,<<4827704204
Arvana>>,<<Arvana>>,<<4811504216
Asherton>>,<<Asherton>>,<<4812704300
Ashtola>>,<<Ashtola>>,<<4812904348
Aspermont>>,<<Aspermont>>,<<4843304408
Athens>>,<<Athens(Henderson)>>,<<4821304504
Atlanta>>,<<Atlanta(Cass)>>,<<4806704516
Aubrey>>,<<Aubrey(Denton)>>,<<4812104600
Augustus>>,<<Augustus>>,<<4816904660
Austin>>,<<Austin(Travis)>>,<<4845305000
Austonio>>,<<Austonio>>,<<4822505024
Austwell>>,<<Austwell>>,<<4805705036
Avery>>,<<Avery(Red River)>>,<<4838705072
Avinger>>,<<Avinger>>,<<4806705084
Avoca>>,<<Avoca(Jones)>>,<<4825305096
Axtell>>,<<Axtell(McLennan)>>,<<4830905156
Azle>>,<<Azle>>,<<4843905168
Bacliff>>,<<Bacliff>>,<<4816705180
Bagwell>>,<<Bagwell>>,<<4838705240
Baird>>,<<Baird(Callahan)>>,<<4805905336
Bakersfield>>,<<Bakersfield(Pecos)>>,<<4837105360
Balch Springs>>,<<Balch Springs>>,<<4811305372
Baldridge>>,<<Baldridge>>,<<4837105432
Ballinger>>,<<Ballinger>>,<<4839905456
Balmorhea>>,<<Balmorhea>>,<<4838905468
Bammel>>,<<Bammel>>,<<4820105492
Bandera>>,<<Bandera>>,<<4801905528
Bandera Falls>>,<<Bandera Falls>>,<<4801905540
Bangs>>,<<Bangs>>,<<4804905552
Banquete>>,<<Banquete>>,<<4835505576
Bardwell>>,<<Bardwell(Ellis)>>,<<4813905612
Barksdale>>,<<Barksdale(Edwards)>>,<<4813705648
Barnhart>>,<<Barnhart(Irion)>>,<<4823505672
Barrett>>,<<Barrett(Harris)>>,<<4820105696
Barstow>>,<<Barstow(Ward)>>,<<4847505720
Bartlett>>,<<Bartlett(Williamson)>>,<<4849105732
Bassett>>,<<Bassett(Bowie)>>,<<4803705840
Bastrop>>,<<Bastrop(Bastrop)>>,<<4802105864
Batesville>>,<<Batesville(Zavala)>>,<<4850705924
Batson>>,<<Batson>>,<<4819905936
Bautista>>,<<Bautista>>,<<4834105960
Bay City>>,<<Bay City(Matagorda)>>,<<4832105984
Bayou Vista>>,<<Bayou Vista>>,<<4816706060
Bayside>>,<<Bayside(Refugio)>>,<<4839106104
Bayside Terrace>>,<<Bayside Terrace>>,<<4820106116
Baytown>>,<<Baytown>>,<<4820106128
Bayview>>,<<Bayview(Cameron)>>,<<4806106140
Beaumont>>,<<Beaumont(Jefferson)>>,<<4824507000
Beaumont Place>>,<<Beaumont Place>>,<<4820107024
Bebe>>,<<Bebe>>,<<4817707060
Beckville>>,<<Beckville>>,<<4836507108
Becton>>,<<Becton>>,<<4830307120
Bedford>>,<<Bedford(Tarrant)>>,<<4843907132
Bedias>>,<<Bedias>>,<<4818507144
Bee Cave>>,<<Bee Cave>>,<<4845307156
Beeville>>,<<Beeville>>,<<4802507192
Belcherville>>,<<Belcherville>>,<<4833707240
Belding>>,<<Belding(Pecos)>>,<<4837107252
Belfalls>>,<<Belfalls>>,<<4802707264
Bellaire>>,<<Bellaire(Harris)>>,<<4820107300
Bellevue>>,<<Bellevue(Clay)>>,<<4807707396
Bellmead>>,<<Bellmead>>,<<4830907408
Bells>>,<<Bells(Grayson)>>,<<4818107420
Bellville>>,<<Bellville(Austin)>>,<<4801507432
Belmont>>,<<Belmont(Gonzales)>>,<<4817707456
Belton>>,<<Belton(Bell)>>,<<4802707492
Ben Arnold>>,<<Ben Arnold>>,<<4833107516
Ben Bolt>>,<<Ben Bolt>>,<<4824907540
Ben Hur>>,<<Ben Hur(Limestone)>>,<<4829307624
Ben Wheeler>>,<<Ben Wheeler>>,<<4846707708
Benavides>>,<<Benavides>>,<<4813107528
Benbrook>>,<<Benbrook>>,<<4843907552
Benchley>>,<<Benchley>>,<<4839507564
Benjamin>>,<<Benjamin>>,<<4827507636
Bennett>>,<<Bennett(Parker)>>,<<4836707648
Benoit>>,<<Benoit(Runnels)>>,<<4839907672
Benonine>>,<<Benonine>>,<<4848307684
Berclair>>,<<Berclair>>,<<4817507720
Berea>>,<<Berea(Marion)>>,<<4831507732
Bernecker>>,<<Bernecker>>,<<4815107816
Bernstein>>,<<Bernstein>>,<<4819507828
Bertram>>,<<Bertram(Williamson)>>,<<4849107864
Bessmay>>,<<Bessmay>>,<<4824107888
Best>>,<<Best>>,<<4838307900
Bettie>>,<<Bettie>>,<<4845908020
Beverly Hills>>,<<Beverly Hills(McLennan)>>,<<4830908104
Big Lake>>,<<Big Lake(Reagan)>>,<<4838308212
Big Sandy>>,<<Big Sandy(Upshur)>>,<<4845908224
Big Spring>>,<<Big Spring(Howard)>>,<<4822708236
Big Wells>>,<<Big Wells>>,<<4812708260
Bigfoot>>,<<Bigfoot>>,<<4816308164
Bisbee>>,<<Bisbee(Tarrant)>>,<<4843908380
Bishop>>,<<Bishop(Nueces)>>,<<4835508392
Bivins>>,<<Bivins>>,<<4806708404
Black>>,<<Black(Parmer)>>,<<4836908416
Blackwell>>,<<Blackwell(Nolan)>>,<<4835308488
Blanco>>,<<Blanco(Blanco)>>,<<4803108536
Blanket>>,<<Blanket>>,<<4809308596
Bleakwood>>,<<Bleakwood>>,<<4835108632
Bledsoe>>,<<Bledsoe>>,<<4807908644
Blessing>>,<<Blessing>>,<<4832108668
Blewett>>,<<Blewett>>,<<4846308704
Bloomburg>>,<<Bloomburg>>,<<4806708752
Blooming Grove>>,<<Blooming Grove>>,<<4834908788
Bloomington>>,<<Bloomington(Victoria)>>,<<4846908800
Blossom>>,<<Blossom>>,<<4827708812
Blue Mound>>,<<Blue Mound(Tarrant)>>,<<4843908860
Blue Ridge>>,<<Blue Ridge(Collin)>>,<<4808508872
Bluetown>>,<<Bluetown>>,<<4806108908
Bluff Dale>>,<<Bluff Dale>>,<<4814308932
Blumenthal>>,<<Blumenthal>>,<<4817109028
Boden>>,<<Boden>>,<<4837509124
Boerne>>,<<Boerne>>,<<4825909160
Bogata>>,<<Bogata>>,<<4838709172
Boise>>,<<Boise(Oldham)>>,<<4835909208
Boling>>,<<Boling>>,<<4848109232
Bomarton>>,<<Bomarton>>,<<4802309256
Bon Wier>>,<<Bon Wier>>,<<4835109436
Bonham>>,<<Bonham>>,<<4814709328
Bonita>>,<<Bonita(Montague)>>,<<4833709340
Bono>>,<<Bono(Johnson)>>,<<4825109412
Booker>>,<<Booker>>,<<4829509448
Booth>>,<<Booth(Fort Bend)>>,<<4815709484
Borger>>,<<Borger>>,<<4823309556
Boston>>,<<Boston(Bowie)>>,<<4803709592
Bovina>>,<<Bovina>>,<<4836909628
Bowie>>,<<Bowie(Montague)>>,<<4833709640
Boyd>>,<<Boyd(Wise)>>,<<4849709748
Boydston>>,<<Boydston>>,<<4817909772
Boys Ranch>>,<<Boys Ranch>>,<<4835909796
Bozar>>,<<Bozar>>,<<4833309820
Brachfield>>,<<Brachfield>>,<<4840109832
Bracken>>,<<Bracken>>,<<4809109844
Brackettville>>,<<Brackettville>>,<<4827109868
Brad>>,<<Brad>>,<<4836309880
Bradshaw>>,<<Bradshaw(Taylor)>>,<<4844109904
Brady>>,<<Brady(McCulloch)>>,<<4830709916
Brand>>,<<Brand>>,<<4841509988
Branton>>,<<Branton>>,<<4813310036
Brashear>>,<<Brashear(Hopkins)>>,<<4822310048
Brazoria>>,<<Brazoria>>,<<4803910072
Brazos>>,<<Brazos(Palo Pinto)>>,<<4836310084
Breckenridge>>,<<Breckenridge(Stephens)>>,<<4842910132
Bremond>>,<<Bremond>>,<<4839510144
Brenham>>,<<Brenham>>,<<4847710156
Breslau>>,<<Breslau>>,<<4828510180
Briar>>,<<Briar(Wise)>>,<<4849710192
Brice>>,<<Brice(Hall)>>,<<4819110240
Bridge City>>,<<Bridge City(Orange)>>,<<4836110252
Bridgeport>>,<<Bridgeport(Wise)>>,<<4849710264
Briggs>>,<<Briggs>>,<<4805310276
Briscoe>>,<<Briscoe>>,<<4848310324
Britton>>,<<Britton(Ellis)>>,<<4813910360
Broaddus>>,<<Broaddus>>,<<4840510384
Bronson>>,<<Bronson(Sabine)>>,<<4840310516
Bronte>>,<<Bronte>>,<<4808110528
Brookeland>>,<<Brookeland>>,<<4840310552
Brookesmith>>,<<Brookesmith>>,<<4804910564
Brookshire>>,<<Brookshire>>,<<4847310636
Brookside Village>>,<<Brookside Village>>,<<4803910648
Brookston>>,<<Brookston(Lamar)>>,<<4827710660
Brownfield>>,<<Brownfield(Terry)>>,<<4844510720
Brownsville>>,<<Brownsville(Cameron)>>,<<4806110768
Brownwood>>,<<Brownwood(Brown)>>,<<4804910780
Brundage>>,<<Brundage>>,<<4812710852
Bruni>>,<<Bruni>>,<<4847910876
Brushy Creek>>,<<Brushy Creek>>,<<4800110900
Bryan>>,<<Bryan(Brazos)>>,<<4804110912
Bryden>>,<<Bryden>>,<<4834110948
Bryson>>,<<Bryson>>,<<4823710960
Buchanan Dam>>,<<Buchanan Dam>>,<<4829910984
Buckeye>>,<<Buckeye(Matagorda)>>,<<4832111008
Buckholts>>,<<Buckholts>>,<<4833111020
Buckingham>>,<<Buckingham(Dallas)>>,<<4811311056
Buda>>,<<Buda(Hays)>>,<<4820911080
Buenos>>,<<Buenos>>,<<4816911104
Buffalo>>,<<Buffalo(Leon)>>,<<4828911116
Buffalo Gap>>,<<Buffalo Gap(Taylor)>>,<<4844111128
Buford>>,<<Buford(Mitchell)>>,<<4833511164
Bullard>>,<<Bullard(Smith)>>,<<4842311212
Buna>>,<<Buna>>,<<4824111236
Bunavista>>,<<Bunavista>>,<<4823311248
Bunker Hill Village>>,<<Bunker Hill Village>>,<<4820111300
Burkburnett>>,<<Burkburnett>>,<<4848511368
Burke>>,<<Burke(Angelina)>>,<<4800511380
Burkett>>,<<Burkett>>,<<4808311392
Burkeville>>,<<Burkeville(Newton)>>,<<4835111404
Burleson>>,<<Burleson>>,<<4825111428
Burlington>>,<<Burlington(Milam)>>,<<4833111440
Burnet>>,<<Burnet>>,<<4805311464
Burris>>,<<Burris(Lubbock)>>,<<4830311512
Burton>>,<<Burton(Washington)>>,<<4847711536
Bushland>>,<<Bushland>>,<<4837511572
Bustamante>>,<<Bustamante>>,<<4850511584
Butler>>,<<Butler(Bastrop)>>,<<4802111608
Byers>>,<<Byers(Clay)>>,<<4807711644
Bynum>>,<<Bynum(Hill)>>,<<4821711656
Cactus>>,<<Cactus>>,<<4834111692
Caddo>>,<<Caddo(Stephens)>>,<<4842911704
Caddo Mills>>,<<Caddo Mills>>,<<4823111716
Caldwell>>,<<Caldwell(Burleson)>>,<<4805111836
Calliham>>,<<Calliham>>,<<4831111956
Calvert>>,<<Calvert>>,<<4839511992
Camden>>,<<Camden(Polk)>>,<<4837312016
Cameron>>,<<Cameron(Milam)>>,<<4833112040
Camp San Saba>>,<<Camp San Saba>>,<<4830712268
Camp Verde>>,<<Camp Verde(Kerr)>>,<<4826512364
Camp Wood>>,<<Camp Wood>>,<<4838512388
Campbell>>,<<Campbell(Hunt)>>,<<4823112112
Campbellton>>,<<Campbellton(Atascosa)>>,<<4801312136
Canadian>>,<<Canadian(Hemphill)>>,<<4821112412
Candelaria>>,<<Candelaria>>,<<4837712424
Canton>>,<<Canton(Van Zandt)>>,<<4846712496
Canutillo>>,<<Canutillo>>,<<4814112508
Canyon>>,<<Canyon(Randall)>>,<<4838112532
Canyon Valley>>,<<Canyon Valley>>,<<4810712592
Cap Rock>>,<<Cap Rock>>,<<4810712676
Capps>>,<<Capps(Moore)>>,<<4834112652
Caps>>,<<Caps>>,<<4844112700
Carbon>>,<<Carbon(Eastland)>>,<<4813312736
Carey>>,<<Carey(Childress)>>,<<4807512784
Cargray>>,<<Cargray>>,<<4806512808
Carlisle>>,<<Carlisle(Lubbock)>>,<<4830312832
Carlos>>,<<Carlos(Grimes)>>,<<4818512868
Carlsbad>>,<<Carlsbad(Tom Green)>>,<<4845112892
Carlton>>,<<Carlton(Hamilton)>>,<<4819312904
Carmine>>,<<Carmine>>,<<4814912916
Carrizo Springs>>,<<Carrizo Springs>>,<<4812712988
Carrollton>>,<<Carrollton(Dallas)>>,<<4811313024
Carta Valley>>,<<Carta Valley>>,<<4813713060
Carthage>>,<<Carthage(Panola)>>,<<4836513108
Casa Piedra>>,<<Casa Piedra>>,<<4837713144
Cash>>,<<Cash(Hunt)>>,<<4823113192
Cason>>,<<Cason>>,<<4834313204
Castle Hills>>,<<Castle Hills>>,<<4802913276
Castolon>>,<<Castolon>>,<<4804313288
Castor>>,<<Castor(Mills)>>,<<4833313300
Castroville>>,<<Castroville(Medina)>>,<<4832513312
Cat Spring>>,<<Cat Spring>>,<<4801513336
Catarina>>,<<Catarina>>,<<4812713324
Cayuga>>,<<Cayuga(Anderson)>>,<<4800113408
Cedar Creek>>,<<Cedar Creek(Bastrop)>>,<<4802113432
Cedar Hill>>,<<Cedar Hill(Dallas)>>,<<4811313492
Cedar Hill>>,<<Cedar Hill(Floyd)>>,<<4815313504
Cedar Lake>>,<<Cedar Lake(Matagorda)>>,<<4832113516
Cedar Park>>,<<Cedar Park>>,<<4849113552
Cee Vee>>,<<Cee Vee>>,<<4810113636
Cego>>,<<Cego>>,<<4814513648
Celeste>>,<<Celeste>>,<<4823113672
Celina>>,<<Celina(Collin)>>,<<4808513684
Celotex>>,<<Celotex>>,<<4815113696
Center>>,<<Center(Shelby)>>,<<4841913732
Center City>>,<<Center City(Mills)>>,<<4833313744
Center Point>>,<<Center Point(Chambers)>>,<<4807113564
Centerville>>,<<Centerville(Leon)>>,<<4828913900
Centralia>>,<<Centralia(Trinity)>>,<<4845514008
Chalk Mountain>>,<<Chalk Mountain>>,<<4814314128
Chamberlin>>,<<Chamberlin>>,<<4811114152
Chancellor>>,<<Chancellor(Pecos)>>,<<4837114200
Chandler>>,<<Chandler(Henderson)>>,<<4821314224
Channelview>>,<<Channelview>>,<<4820114236
Channing>>,<<Channing>>,<<4820514260
Chapman Ranch>>,<<Chapman Ranch>>,<<4835514308
Chappell Hill>>,<<Chappell Hill>>,<<4847714332
Charco>>,<<Charco>>,<<4817514344
Charleston>>,<<Charleston(Delta)>>,<<4811914380
Charlotte>>,<<Charlotte(Atascosa)>>,<<4801314404
Cherokee>>,<<Cherokee(San Saba)>>,<<4841114548
Cherry Spring>>,<<Cherry Spring>>,<<4817114572
Chester>>,<<Chester(Ward)>>,<<4847514584
Chico>>,<<Chico(Wise)>>,<<4849714620
Childress>>,<<Childress>>,<<4807514668
Chillicothe>>,<<Chillicothe(Hardeman)>>,<<4819714680
Chilton>>,<<Chilton(Falls)>>,<<4814514692
China>>,<<China>>,<<4824514704
China Springs>>,<<China Springs>>,<<4830914740
Chireno>>,<<Chireno>>,<<4834714776
Chisholm>>,<<Chisholm(Rockwall)>>,<<4839714788
Chispa>>,<<Chispa>>,<<4824314792
Choate>>,<<Choate>>,<<4825514812
Chriesman>>,<<Chriesman>>,<<4805114848
Christoval>>,<<Christoval>>,<<4845114872
Chunky>>,<<Chunky(Potter)>>,<<4837514888
Circle>>,<<Circle(Lamb)>>,<<4827914968
Circleville>>,<<Circleville(Williamson)>>,<<4849114992
Cisco>>,<<Cisco(Eastland)>>,<<4813315004
Cistern>>,<<Cistern>>,<<4814915016
Clairemont>>,<<Clairemont>>,<<4826315064
Clairette>>,<<Clairette>>,<<4814315076
Clarendon>>,<<Clarendon(Donley)>>,<<4812915112
Clarksville>>,<<Clarksville(Red River)>>,<<4838715160
Clarksville City>>,<<Clarksville City>>,<<4818315172
Claude>>,<<Claude>>,<<4801115196
Clauene>>,<<Clauene>>,<<4821915208
Clay>>,<<Clay(Burleson)>>,<<4805115232
Clayton>>,<<Clayton(Panola)>>,<<4836515256
Clear Lake City>>,<<Clear Lake City>>,<<4820115316
Clear Lake Shores>>,<<Clear Lake Shores>>,<<4816715328
Clear Springs>>,<<Clear Springs(Guadalupe)>>,<<4818715340
Cleburne>>,<<Cleburne>>,<<4825115364
Cleo>>,<<Cleo>>,<<4826715412
Cleta>>,<<Cleta>>,<<4838115424
Cleveland>>,<<Cleveland(Liberty)>>,<<4829115436
Cliffside>>,<<Cliffside(Potter)>>,<<4837515460
Clifton>>,<<Clifton(Bosque)>>,<<4803515472
Cline>>,<<Cline>>,<<4846315532
Clint>>,<<Clint>>,<<4814115544
Cloverleaf>>,<<Cloverleaf>>,<<4820115628
Clute>>,<<Clute>>,<<4803915652
Clyde>>,<<Clyde(Callahan)>>,<<4805915676
Coady>>,<<Coady>>,<<4820115688
Coahoma>>,<<Coahoma(Howard)>>,<<4822715700
Coble>>,<<Coble>>,<<4821915748
Coburn>>,<<Coburn(Lipscomb)>>,<<4829515760
Cochran>>,<<Cochran(Austin)>>,<<4801515784
Cockrell Hill>>,<<Cockrell Hill>>,<<4811315796
Codman>>,<<Codman>>,<<4839315808
Coldspring>>,<<Coldspring>>,<<4840715892
Coleman>>,<<Coleman(Coleman)>>,<<4808315916
College Station>>,<<College Station>>,<<4804115976
Colleyville>>,<<Colleyville>>,<<4843915988
Collinsville>>,<<Collinsville(Grayson)>>,<<4818116036
Colmesneil>>,<<Colmesneil>>,<<4845716048
Colony>>,<<Colony(Fayette)>>,<<4814916096
Colorado City>>,<<Colorado City(Mitchell)>>,<<4833516120
Columbus>>,<<Columbus(Colorado)>>,<<4808916168
Comal>>,<<Comal>>,<<4809116180
Comanche>>,<<Comanche(Comanche)>>,<<4809316192
Combes>>,<<Combes>>,<<4806116204
Combine>>,<<Combine>>,<<4825716216
Comfort>>,<<Comfort(Kendall)>>,<<4825916228
Commerce>>,<<Commerce(Hunt)>>,<<4823116240
Como>>,<<Como(Hopkins)>>,<<4822316252
Comstock>>,<<Comstock(Val Verde)>>,<<4846516264
Concan>>,<<Concan>>,<<4846316288
Concepcion>>,<<Concepcion>>,<<4813116300
Concord>>,<<Concord(Cherokee)>>,<<4807316324
Concrete>>,<<Concrete(DeWitt)>>,<<4812316372
Cone>>,<<Cone>>,<<4810716384
Conlen>>,<<Conlen>>,<<4811116396
Conroe>>,<<Conroe>>,<<4833916432
Conway>>,<<Conway(Carson)>>,<<4806516480
Cookville>>,<<Cookville>>,<<4844916528
Coolidge>>,<<Coolidge(Limestone)>>,<<4829316552
Cooper>>,<<Cooper(Delta)>>,<<4811916564
Copeville>>,<<Copeville>>,<<4808516600
Coppell>>,<<Coppell>>,<<4811316612
Copperas Cove>>,<<Copperas Cove>>,<<4809916624
Corbet>>,<<Corbet>>,<<4834916660
Corinth>>,<<Corinth(Jones)>>,<<4825316696
Cornudas>>,<<Cornudas>>,<<4822916780
Corpus Christi>>,<<Corpus Christi>>,<<4835517000
Corrigan>>,<<Corrigan>>,<<4837317036
Corsicana>>,<<Corsicana>>,<<4834917060
Cost>>,<<Cost>>,<<4817717096
Cottonwood>>,<<Cottonwood(Madison)>>,<<4831317200
Cotulla>>,<<Cotulla>>,<<4828317216
Coughran>>,<<Coughran>>,<<4801317228
Coupland>>,<<Coupland>>,<<4849117312
Courtney>>,<<Courtney(Grimes)>>,<<4818517324
Covington>>,<<Covington(Hill)>>,<<4821717372
Crandall>>,<<Crandall(Kaufman)>>,<<4825717504
Crane>>,<<Crane(Crane)>>,<<4810317516
Cranell>>,<<Cranell>>,<<4839117528
Cranfills Gap>>,<<Cranfills Gap>>,<<4819317540
Crawford>>,<<Crawford(McLennan)>>,<<4830917564
Cresson>>,<<Cresson(Hood)>>,<<4822117648
Crockett>>,<<Crockett(Houston)>>,<<4822517744
Crosby>>,<<Crosby(Harris)>>,<<4820117756
Crosbyton>>,<<Crosbyton>>,<<4810717768
Cross Cut>>,<<Cross Cut>>,<<4804917804
Cross Plains>>,<<Cross Plains(Upshur)>>,<<4845917816
Cross Roads>>,<<Cross Roads>>,<<4821317852
Crowell>>,<<Crowell>>,<<4815517948
Crowley>>,<<Crowley(Tarrant)>>,<<4843917960
Crystal City>>,<<Crystal City>>,<<4850718020
Crystal Falls>>,<<Crystal Falls(Stephens)>>,<<4842918032
Cuero>>,<<Cuero>>,<<4812318092
Cumby>>,<<Cumby>>,<<4822318128
Cundiff>>,<<Cundiff(Jack)>>,<<4823718140
Cuney>>,<<Cuney>>,<<4807318152
Cunningham>>,<<Cunningham(Lamar)>>,<<4827718164
Curtis>>,<<Curtis(Jasper)>>,<<4824118200
Cushing>>,<<Cushing(Nacogdoches)>>,<<4834718224
Cut>>,<<Cut>>,<<4822518248
Cut and Shoot>>,<<Cut and Shoot>>,<<4833918260
Cuyler>>,<<Cuyler>>,<<4806518296
D'Hanis>>,<<D'Hanis>>,<<4832520248
Dabney>>,<<Dabney>>,<<4846318416
Daingerfield>>,<<Daingerfield>>,<<4834318464
Daisetta>>,<<Daisetta>>,<<4829118476
Dale>>,<<Dale(Caldwell)>>,<<4805518500
Dalhart>>,<<Dalhart>>,<<4811118524
Dallardsville>>,<<Dallardsville>>,<<4837318536
Dallas>>,<<Dallas(Dallas)>>,<<4811319000
Dalworthington Gardens>>,<<Dalworthington Gardens>>,<<4843919084
Damon>>,<<Damon>>,<<4803919108
Danbury>>,<<Danbury(Brazoria)>>,<<4803919120
Danevang>>,<<Danevang>>,<<4848119156
Darco>>,<<Darco>>,<<4820319240
Darrouzett>>,<<Darrouzett>>,<<4829519288
Davilla>>,<<Davilla>>,<<4833119336
Dawn>>,<<Dawn>>,<<4811719408
Dawson>>,<<Dawson(Navarro)>>,<<4834919420
Dayton>>,<<Dayton(Liberty)>>,<<4829119432
De Berry>>,<<De Berry>>,<<4836519516
De Kalb>>,<<De Kalb(Bowie)>>,<<4803719648
De Soto>>,<<De Soto(Dallas)>>,<<4811320092
Deanville>>,<<Deanville>>,<<4805119492
Decatur>>,<<Decatur(Wise)>>,<<4849719528
Deer Park>>,<<Deer Park(Harris)>>,<<4820119624
Del Rio>>,<<Del Rio>>,<<4846519792
