PREFECTURE NAME>>,<<PREFECTURE GMI>>,<<CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<PREFECTURE GMI
Felsenthal>>,<<0513923320>>,<<Union County>>,<<USA-ARK139>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513923320
Felton>>,<<0507723350>>,<<Lee County>>,<<USA-ARK077>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507723350
Ferndale>>,<<0511923620>>,<<Pulaski County>>,<<USA-ARK119>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511923620
Fisher>>,<<0511123800>>,<<Poinsett County>>,<<USA-ARK111>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511123800
Fitzhugh>>,<<0514723860>>,<<Woodruff County>>,<<USA-ARK147>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514723860
Flag>>,<<0513723920>>,<<Stone County>>,<<USA-ARK137>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513723920
Flippin>>,<<0508924010>>,<<Marion County>>,<<USA-ARK089>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508924010
Floral>>,<<0506324070>>,<<Independence County>>,<<USA-ARK063>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0506324070
Florence>>,<<0504324100>>,<<Drew County>>,<<USA-ARK043>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504324100
Floyd>>,<<0514524130>>,<<White County>>,<<USA-ARK145>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514524130
Fordyce>>,<<0503924220>>,<<Dallas County>>,<<USA-ARK039>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503924220
Foreman>>,<<0508124250>>,<<Little River County>>,<<USA-ARK081>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508124250
Formosa>>,<<0514124400>>,<<Van Buren County>>,<<USA-ARK141>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514124400
Forrest City>>,<<0512324430>>,<<Saint Francis County>>,<<USA-ARK123>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512324430
Fort Douglas>>,<<0507124490>>,<<Johnson County>>,<<USA-ARK071>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507124490
Fort Smith>>,<<0513124550>>,<<Sebastian County>>,<<USA-ARK131>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513124550
Fouke>>,<<0509124640>>,<<Miller County>>,<<USA-ARK091>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509124640
Fountain Hill>>,<<0500324670>>,<<Ashley County>>,<<USA-ARK003>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500324670
Fox>>,<<0513724910>>,<<Stone County>>,<<USA-ARK137>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513724910
Friendship>>,<<0505925180>>,<<Hot Spring County>>,<<USA-ARK059>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505925180
Fulton>>,<<0505725360>>,<<Hempstead County>>,<<USA-ARK057>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505725360
Gainesville>>,<<0505525480>>,<<Greene County>>,<<USA-ARK055>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505525480
Gamaliel>>,<<0500525630>>,<<Baxter County>>,<<USA-ARK005>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500525630
Garfield>>,<<0500725750>>,<<Benton County>>,<<USA-ARK007>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500725750
Garland City Station>>,<<0509125825>>,<<Miller County>>,<<USA-ARK091>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509125825
Garner>>,<<0514525900>>,<<White County>>,<<USA-ARK145>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514525900
Genevia>>,<<0511926230>>,<<Pulaski County>>,<<USA-ARK119>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511926230
Genoa>>,<<0509126260>>,<<Miller County>>,<<USA-ARK091>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509126260
Gentry>>,<<0500726290>>,<<Benton County>>,<<USA-ARK007>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500726290
Gifford>>,<<0505926770>>,<<Hot Spring County>>,<<USA-ARK059>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505926770
Gilbert>>,<<0512926800>>,<<Searcy County>>,<<USA-ARK129>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512926800
Gillett>>,<<0500126980>>,<<Arkansas County>>,<<USA-ARK001>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500126980
Gillham>>,<<0513327010>>,<<Sevier County>>,<<USA-ARK133>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513327010
Gilmore>>,<<0503527040>>,<<Crittenden County>>,<<USA-ARK035>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503527040
Glencoe>>,<<0504927160>>,<<Fulton County>>,<<USA-ARK049>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504927160
Glendale>>,<<0507927190>>,<<Lincoln County>>,<<USA-ARK079>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507927190
Glenwood>>,<<0510927310>>,<<Pike County>>,<<USA-ARK109>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510927310
Goodwin>>,<<0512327610>>,<<Saint Francis County>>,<<USA-ARK123>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512327610
Goshen>>,<<0514327670>>,<<Washington County>>,<<USA-ARK143>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514327670
Gosnell>>,<<0509327700>>,<<Mississippi County>>,<<USA-ARK093>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509327700
Gould>>,<<0507927730>>,<<Lincoln County>>,<<USA-ARK079>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507927730
Grady>>,<<0507927790>>,<<Lincoln County>>,<<USA-ARK079>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507927790
Grand Glaise>>,<<0506727820>>,<<Jackson County>>,<<USA-ARK067>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0506727820
Grannis>>,<<0511327970>>,<<Polk County>>,<<USA-ARK113>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511327970
Grapevine>>,<<0505328000>>,<<Grant County>>,<<USA-ARK053>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505328000
Gravelly>>,<<0514928180>>,<<Yell County>>,<<USA-ARK149>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514928180
Gravette>>,<<0500728360>>,<<Benton County>>,<<USA-ARK007>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500728360
Grays>>,<<0514728420>>,<<Woodruff County>>,<<USA-ARK147>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514728420
Greenbrier>>,<<0504528510>>,<<Faulkner County>>,<<USA-ARK045>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504528510
Greenfield>>,<<0511128570>>,<<Poinsett County>>,<<USA-ARK111>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511128570
Greenland>>,<<0514328660>>,<<Washington County>>,<<USA-ARK143>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514328660
Greenway>>,<<0502128720>>,<<Clay County>>,<<USA-ARK021>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502128720
Greenwood>>,<<0513128780>>,<<Sebastian County>>,<<USA-ARK131>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513128780
Gregory>>,<<0514728840>>,<<Woodruff County>>,<<USA-ARK147>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514728840
Grider>>,<<0509328870>>,<<Mississippi County>>,<<USA-ARK093>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509328870
Griffithville>>,<<0514528990>>,<<White County>>,<<USA-ARK145>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514528990
Grubbs>>,<<0506729020>>,<<Jackson County>>,<<USA-ARK067>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0506729020
Guion>>,<<0506529080>>,<<Izard County>>,<<USA-ARK065>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0506529080
Gurdon>>,<<0501929200>>,<<Clark County>>,<<USA-ARK019>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501929200
Guy>>,<<0504529230>>,<<Faulkner County>>,<<USA-ARK045>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504529230
Hackett>>,<<0513129290>>,<<Sebastian County>>,<<USA-ARK131>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513129290
Hagarville>>,<<0507129320>>,<<Johnson County>>,<<USA-ARK071>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507129320
Halley>>,<<0504129380>>,<<Desha County>>,<<USA-ARK041>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504129380
Halliday>>,<<0505529440>>,<<Greene County>>,<<USA-ARK055>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505529440
Hamburg>>,<<0500329500>>,<<Ashley County>>,<<USA-ARK003>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500329500
Hampton>>,<<0501329650>>,<<Calhoun County>>,<<USA-ARK013>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501329650
Hanover>>,<<0513729770>>,<<Stone County>>,<<USA-ARK137>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513729770
Hardy>>,<<0513529920>>,<<Sharp County>>,<<USA-ARK135>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513529920
Harmony>>,<<0507130160>>,<<Johnson County>>,<<USA-ARK071>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507130160
Harrell>>,<<0501330310>>,<<Calhoun County>>,<<USA-ARK013>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501330310
Harrisburg>>,<<0511130400>>,<<Poinsett County>>,<<USA-ARK111>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511130400
Harrison>>,<<0500930460>>,<<Boone County>>,<<USA-ARK009>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500930460
Hartford>>,<<0513130490>>,<<Sebastian County>>,<<USA-ARK131>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513130490
Harvey>>,<<0512730610>>,<<Scott County>>,<<USA-ARK127>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512730610
Haskell>>,<<0512530640>>,<<Saline County>>,<<USA-ARK125>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512530640
Hatfield>>,<<0511330700>>,<<Polk County>>,<<USA-ARK113>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511330700
Hattieville>>,<<0502930730>>,<<Conway County>>,<<USA-ARK029>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502930730
Havana>>,<<0514930790>>,<<Yell County>>,<<USA-ARK149>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514930790
Haynes>>,<<0507730880>>,<<Lee County>>,<<USA-ARK077>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507730880
Hazen>>,<<0511730940>>,<<Prairie County>>,<<USA-ARK117>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511730940
Heber Springs>>,<<0502331090>>,<<Cleburne County>>,<<USA-ARK023>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502331090
Hector>>,<<0511531150>>,<<Pope County>>,<<USA-ARK115>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511531150
Helena>>,<<0510731180>>,<<Phillips County>>,<<USA-ARK107>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510731180
Henderson>>,<<0500531270>>,<<Baxter County>>,<<USA-ARK005>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500531270
Hermitage>>,<<0501131540>>,<<Bradley County>>,<<USA-ARK011>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501131540
Hickory Plains>>,<<0511731870>>,<<Prairie County>>,<<USA-ARK117>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511731870
Hickory Ridge>>,<<0503731900>>,<<Cross County>>,<<USA-ARK037>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503731900
Higginson>>,<<0514532140>>,<<White County>>,<<USA-ARK145>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514532140
Hillemann>>,<<0514732440>>,<<Woodruff County>>,<<USA-ARK147>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514732440
Hindsville>>,<<0508732470>>,<<Madison County>>,<<USA-ARK087>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508732470
Hiram>>,<<0502332500>>,<<Cleburne County>>,<<USA-ARK023>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502332500
Hiwasse>>,<<0500732530>>,<<Benton County>>,<<USA-ARK007>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500732530
Holland>>,<<0504532710>>,<<Faulkner County>>,<<USA-ARK045>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504532710
Hollis>>,<<0510532740>>,<<Perry County>>,<<USA-ARK105>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510532740
Holly Grove>>,<<0509532800>>,<<Monroe County>>,<<USA-ARK095>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509532800
Holly Springs>>,<<0503932860>>,<<Dallas County>>,<<USA-ARK039>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503932860
Hon>>,<<0512733100>>,<<Scott County>>,<<USA-ARK127>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512733100
Hope>>,<<0505733190>>,<<Hempstead County>>,<<USA-ARK057>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505733190
Hopper>>,<<0509733280>>,<<Montgomery County>>,<<USA-ARK097>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509733280
Horatio>>,<<0513333310>>,<<Sevier County>>,<<USA-ARK133>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513333310
Hot Springs>>,<<0505133460>>,<<Garland County>>,<<USA-ARK051>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505133460
Houston>>,<<0510533490>>,<<Perry County>>,<<USA-ARK105>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510533490
Howell>>,<<0514733550>>,<<Woodruff County>>,<<USA-ARK147>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514733550
Hoxie>>,<<0507533580>>,<<Lawrence County>>,<<USA-ARK075>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507533580
Hughes>>,<<0512333760>>,<<Saint Francis County>>,<<USA-ARK123>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512333760
Humnoke>>,<<0508533820>>,<<Lonoke County>>,<<USA-ARK085>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508533820
Humphrey>>,<<0500133850>>,<<Arkansas County>>,<<USA-ARK001>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500133850
Hunter>>,<<0514733910>>,<<Woodruff County>>,<<USA-ARK147>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514733910
Huntington>>,<<0513133940>>,<<Sebastian County>>,<<USA-ARK131>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513133940
Huntsville>>,<<0508733970>>,<<Madison County>>,<<USA-ARK087>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508733970
Huttig>>,<<0513934090>>,<<Union County>>,<<USA-ARK139>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513934090
Ida>>,<<0502334120>>,<<Cleburne County>>,<<USA-ARK023>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502334120
Imboden>>,<<0507534150>>,<<Lawrence County>>,<<USA-ARK075>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507534150
Ingalls>>,<<0501134300>>,<<Bradley County>>,<<USA-ARK011>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501134300
Ivan>>,<<0503934540>>,<<Dallas County>>,<<USA-ARK039>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503934540
Jacksonport>>,<<0506734720>>,<<Jackson County>>,<<USA-ARK067>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0506734720
Jacksonville>>,<<0511934750>>,<<Pulaski County>>,<<USA-ARK119>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511934750
Japton>>,<<0508734840>>,<<Madison County>>,<<USA-ARK087>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508734840
Jasper>>,<<0510134900>>,<<Newton County>>,<<USA-ARK101>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510134900
Jefferson>>,<<0506934960>>,<<Jefferson County>>,<<USA-ARK069>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0506934960
Jennie>>,<<0501735050>>,<<Chicot County>>,<<USA-ARK017>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501735050
Jenny Lind>>,<<0513135080>>,<<Sebastian County>>,<<USA-ARK131>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513135080
Jericho>>,<<0503535140>>,<<Crittenden County>>,<<USA-ARK035>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503535140
Jerome>>,<<0504335170>>,<<Drew County>>,<<USA-ARK043>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504335170
Jersey>>,<<0501135230>>,<<Bradley County>>,<<USA-ARK011>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501135230
Jerusalem>>,<<0502935260>>,<<Conway County>>,<<USA-ARK029>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502935260
Jessieville>>,<<0505135290>>,<<Garland County>>,<<USA-ARK051>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505135290
Johnson>>,<<0514335500>>,<<Washington County>>,<<USA-ARK143>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514335500
Joiner>>,<<0509335650>>,<<Mississippi County>>,<<USA-ARK093>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509335650
Jonesboro>>,<<0503135710>>,<<Craighead County>>,<<USA-ARK031>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503135710
Judsonia>>,<<0514536040>>,<<White County>>,<<USA-ARK145>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514536040
Junction City>>,<<0513936130>>,<<Union County>>,<<USA-ARK139>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513936130
Kedron>>,<<0502536280>>,<<Cleveland County>>,<<USA-ARK025>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502536280
Kelso>>,<<0504136370>>,<<Desha County>>,<<USA-ARK041>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504136370
Kensett>>,<<0514536430>>,<<White County>>,<<USA-ARK145>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514536430
Kent>>,<<0510336460>>,<<Ouachita County>>,<<USA-ARK103>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510336460
Keo>>,<<0508536550>>,<<Lonoke County>>,<<USA-ARK085>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508536550
Kiblah>>,<<0509136640>>,<<Miller County>>,<<USA-ARK091>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509136640
Kingsland>>,<<0502536880>>,<<Cleveland County>>,<<USA-ARK025>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502536880
Kingston>>,<<0508736910>>,<<Madison County>>,<<USA-ARK087>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508736910
Kirby>>,<<0510937060>>,<<Pike County>>,<<USA-ARK109>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510937060
Knobel>>,<<0502137240>>,<<Clay County>>,<<USA-ARK021>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0502137240
Knoxville>>,<<0507137300>>,<<Johnson County>>,<<USA-ARK071>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507137300
Ladelle>>,<<0504337630>>,<<Drew County>>,<<USA-ARK043>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0504337630
LaGrange>>,<<0507737720>>,<<Lee County>>,<<USA-ARK077>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507737720
Lake City>>,<<0503137780>>,<<Craighead County>>,<<USA-ARK031>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503137780
Lake Village>>,<<0501738170>>,<<Chicot County>>,<<USA-ARK017>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0501738170
Lamar>>,<<0507138290>>,<<Johnson County>>,<<USA-ARK071>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507138290
Lambrook>>,<<0510738410>>,<<Phillips County>>,<<USA-ARK107>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510738410
Landis>>,<<0512938530>>,<<Searcy County>>,<<USA-ARK129>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512938530
Laneburg>>,<<0509938560>>,<<Nevada County>>,<<USA-ARK099>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509938560
Langley>>,<<0510938620>>,<<Pike County>>,<<USA-ARK109>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510938620
Larue>>,<<0500738770>>,<<Benton County>>,<<USA-ARK007>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500738770
Lavaca>>,<<0513138890>>,<<Sebastian County>>,<<USA-ARK131>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513138890
Lawson>>,<<0513938950>>,<<Union County>>,<<USA-ARK139>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513938950
Leachville>>,<<0509339010>>,<<Mississippi County>>,<<USA-ARK093>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0509339010
Lead Hill>>,<<0500939040>>,<<Boone County>>,<<USA-ARK009>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0500939040
Lee Creek>>,<<0503339160>>,<<Crawford County>>,<<USA-ARK033>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0503339160
Leola>>,<<0505339310>>,<<Grant County>>,<<USA-ARK053>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505339310
Lepanto>>,<<0511139370>>,<<Poinsett County>>,<<USA-ARK111>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511139370
Leslie>>,<<0512939460>>,<<Searcy County>>,<<USA-ARK129>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0512939460
Letona>>,<<0514539520>>,<<White County>>,<<USA-ARK145>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514539520
Lewisville>>,<<0507339640>>,<<Lafayette County>>,<<USA-ARK073>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0507339640
Lexa>>,<<0510739670>>,<<Phillips County>>,<<USA-ARK107>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510739670
Limestone>>,<<0510139940>>,<<Newton County>>,<<USA-ARK101>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510139940
Lincoln>>,<<0514339970>>,<<Washington County>>,<<USA-ARK143>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0514339970
Little Rock>>,<<0511941000>>,<<Pulaski County>>,<<USA-ARK119>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511941000
Lockesburg>>,<<0513341090>>,<<Sevier County>>,<<USA-ARK133>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0513341090
London>>,<<0511541270>>,<<Pope County>>,<<USA-ARK115>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0511541270
Lono>>,<<0505941390>>,<<Hot Spring County>>,<<USA-ARK059>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505941390
Lonoke>>,<<0508541420>>,<<Lonoke County>>,<<USA-ARK085>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0508541420
Lonsdale>>,<<0505141450>>,<<Garland County>>,<<USA-ARK051>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0505141450
Louann>>,<<0510341630>>,<<Ouachita County>>,<<USA-ARK103>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<USA>>,<<0510341630
